noun	suffix	v_trans	v_dyn	v_dur	v_tel	v_post_phase	v_rol_subj	v_rol_obj	v_rol_obq	n_onto	n_relation	n_dyn	n_dur	n_tel	n_post_phase	n_rol_arg1	n_rol_arg2	n_rol_arg3
emplafonnement	ment	n	y	n	y	n	thm	na	des	evt	tsp	y	n	y	n	des	thm	na
emplâtrement1	ment	y	y	y	y	y	agt	pat	na	evt*sta	tsp	y	y	y	y	pat	agt	na
emplâtrement2	ment	y	y	y	y	y	agt	pat	na	art	res	na	na	na	na	na	na	na
encroisement1	ment	y	y	y	y	y	agt	thm	thm	evt	tsp	y	y	y	n	thm	thm	agt
encroisement2	ment	y	y	y	y	y	agt	thm	thm	art	res	na	na	na	na	na	na	na
encroisement3	ment	y	n	y	n	n	thm	thm	na	sta	tsp	n	y	n	n	thm	thm	na
encroisement4	ment	y	n	y	n	n	thm	thm	na	nat	res	na	na	na	na	na	na	na
enguirlandement1	ment	y	y	y	y	y	agt	thm	des	evt	tsp	y	y	y	n	thm	des	agt
enguirlandement2	ment	y	y	y	y	y	agt	thm	des	art	res	na	na	na	na	na	na	na
enguirlandement3	ment	y	y	y	n	n	agt	ben	na	cog*evt	tsp	y	y	n	n	ben	agt	na
entourement1	ment	y	y	y	y	y	thm	loc	na	evt*sta	tsp	y	y	y	y	loc	thm	na
entourement2	ment	y	n	y	n	n	thm	loc	na	art	thm	na	na	na	na	na	na	na
entourement3	ment	y	n	y	n	n	thm	loc	na	nat	thm	na	na	na	na	na	na	na
entourement4	ment	y	y	y	n	n	agt	ben	thm	sta	res	n	y	n	n	na	na	na
entrouvrement1	ment	n	y	n	y	y	thm	na	na	evt*sta	tsp	y	n	y	y	thm	na	na
entrouvrement2	ment	n	y	n	y	y	thm	na	na	nat	res	na	na	na	na	na	na	na
farcissement1	ment	y	y	y	y	n	agt	thm	des	evt	tsp	y	y	y	n	thm	des	agt
farcissement2	ment	y	y	y	y	n	agt	thm	des	art	thm	na	na	na	na	na	na	na
fêlement	ment	n	y	n	y	n	pat	na	na	evt	tsp	y	n	y	n	pat	na	na
ficellement1	ment	y	y	y	y	n	agt	res	na	cog*evt	tsp	y	y	y	n	res	agt	na
ficellement2	ment	y	y	y	y	y	agt	thm	des	evt	tsp	y	y	y	n	thm	des	agt
flanchement	ment	n	y	y	v	y	exp	na	na	evt*sta	tsp	y	y	v	y	exp	na	na
fourbissement	ment	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
froidissement1	ment	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
froidissement2	ment	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
fusement	ment	n	y	y	n	n	cau	na	na	evt	tsp	y	y	n	n	cau	na	na
gâtement1	ment	n	y	y	v	n	pat	na	na	evt*sta	tsp	y	y	v	n	pat	na	na
gâtement2	ment	y	y	n	y	n	agt	ben	na	evt	tsp	y	n	y	n	ben	agt	na
grichement	ment	n	y	y	n	n	cau	na	na	evt	tsp	y	y	n	n	cau	na	na
griffement1	ment	y	y	n	y	n	cau	pat	na	evt	tsp	y	n	y	n	pat	cau	na
griffement2	ment	y	y	n	y	n	cau	pat	na	sta	res	n	y	n	n	na	na	na
griffement3	ment	y	y	n	y	n	cau	pat	na	nat	res	na	na	na	na	na	na	na
hallucinement1	ment	n	y	y	n	n	exp	na	na	evt	tsp	y	y	n	n	exp	na	na
hallucinement2	ment	n	y	y	n	n	exp	na	na	sta	res	n	y	n	n	exp	na	na
heurtement1	ment	y	y	y	n	n	sti	exp	na	sta	res	n	y	n	n	exp	na	na
heurtement2	ment	y	y	n	y	n	thm	des	na	evt	tsp	y	n	y	n	des	thm	na
ignorement	ment	y	y	y	n	n	agt	tpc	na	evt	tsp	y	y	n	n	tpc	agt	na
intervertissement	ment	y	y	n	y	y	cau	thm	thm	evt*sta	tsp	y	n	y	y	thm	thm	cau
joignement1	ment	y	y	n	y	y	cau	thm	thm	evt*sta	tsp	y	n	y	y	thm	thm	cau
joignement2	ment	n	y	n	y	y	agt	na	des	evt*sta	tsp	y	n	y	y	des	agt	na
jubilement1	ment	n	y	y	n	n	exp	na	na	sta	res	n	y	n	n	exp	na	na
jubilement2	ment	n	y	y	n	n	exp	na	na	cog	res	na	na	na	na	exp	na	na
lissement1	ment	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
lissement2	ment	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
lovement1	ment	y	y	n	y	y	agt	thm	des	evt*sta	tsp	y	n	y	y	thm	des	agt
lovement2	ment	n	y	n	y	y	thm	na	loc	evt*sta	tsp	y	n	y	y	loc	thm	na
malaxement	ment	y	y	y	n	n	agt	pat	na	evt	tsp	y	y	n	n	pat	agt	na
mamelonnement	ment	n	y	y	v	y	pat	na	na	nat	res	na	na	na	na	na	na	na
maudissement1	ment	y	y	n	y	n	agt	pat	na	evt	tsp	y	n	y	n	pat	agt	na
maudissement2	ment	y	y	y	n	n	agt	tpc	na	cog	res	na	na	na	na	na	na	na
mitraillement1	ment	y	y	y	n	n	agt	thm	des	evt	tsp	y	y	n	n	thm	des	agt
mitraillement2	ment	y	y	y	n	n	agt	tpc	na	evt	tsp	y	y	n	n	tpc	agt	na
mouchement1	ment	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
mouchement2	ment	y	y	y	y	n	agt	pat	na	art	res	na	na	na	na	na	na	na
mouchement3	ment	y	y	y	n	n	src	thm	na	evt	tsp	y	y	n	n	thm	src	na
naissement	ment	n	y	n	y	n	res	na	na	evt	tsp	y	n	y	n	res	na	na
ranciment	ment	n	y	y	v	n	pat	na	na	evt*sta	tsp	y	y	v	n	pat	na	na
rapiècement1	ment	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
rapiècement2	ment	y	y	y	y	n	agt	pat	na	art	res	na	na	na	na	na	na	na
ratiboisement	ment	y	y	y	y	n	cau	pat	na	evt	tsp	y	y	y	n	pat	cau	na
ravagement1	ment	y	y	y	y	n	cau	pat	na	evt	tsp	y	y	y	n	pat	cau	na
ravagement2	ment	y	y	y	n	n	sti	exp	na	sta	res	n	y	n	n	exp	na	na
réagissement1	ment	n	y	y	n	n	cau	na	na	evt	tsp	y	y	n	n	cau	na	na
réagissement2	ment	n	y	y	v	y	pat	na	cau	evt*sta	tsp	y	y	v	y	cau	pat	na
reconnaissement1	ment	y	y	n	y	n	cau	tpc	na	evt	tsp	y	n	y	n	tpc	cau	na
reconnaissement2	ment	y	y	n	y	y	agt	tpc	na	evt	tsp	y	n	y	n	tpc	agt	na
reconnaissement3	ment	y	y	n	y	y	agt	tpc	na	sta	res	n	y	n	n	na	na	na
reliement	ment	y	y	y	y	y	agt	thm	thm	evt*sta	tsp	y	y	y	y	thm	thm	agt
rembourrement1	ment	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
rembourrement2	ment	y	y	y	y	n	agt	pat	na	art	res	na	na	na	na	na	na	na
repassement1	ment	y	y	n	y	n	thm	pth	na	evt	tsp	y	n	y	n	pth	thm	na
repassement2	ment	y	y	y	y	n	agt	thm	pth	evt	tsp	y	y	y	n	thm	pth	agt
repassement3	ment	y	y	y	y	n	agt	thm	pth	art	res	na	na	na	na	na	na	na
repassement4	ment	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
résiliement	ment	y	y	n	y	n	agt	pat	na	evt	tsp	y	n	y	n	pat	agt	na
ressuscitement	ment	n	y	n	y	y	pat	na	na	evt*sta	tsp	y	n	y	y	pat	na	na
retapement	ment	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
retouchement1	ment	y	y	y	y	n	agt	pat	na	evt	tsp	y	y	y	n	pat	agt	na
retouchement2	ment	y	y	y	y	n	agt	pat	na	art	res	na	na	na	na	na	na	na
rouillement	ment	n	y	y	v	n	pat	na	na	evt*sta	tsp	y	y	v	n	pat	na	na
salariement	ment	y	y	y	n	n	agt	ben	na	evt	tsp	y	y	n	n	ben	agt	na
savourement	ment	y	y	y	n	n	exp	sti	na	sta	res	n	y	n	n	exp	na	na
subissement	ment	y	y	y	n	n	pat	cau	na	evt	tsp	y	y	n	n	pat	cau	na
tintinement	ment	n	y	y	n	n	cau	na	na	evt	tsp	y	y	n	n	cau	na	na
tintinnabulement	ment	n	y	y	n	n	cau	na	na	evt	tsp	y	y	n	n	cau	na	na
tirebouchonnement1	ment	n	n	y	n	n	pvt	na	na	ppt	tsp	n	na	na	na	pvt	na	na
tirebouchonnement2	ment	n	y	n	y	y	pat	na	na	evt*sta	tsp	y	n	y	y	pat	na	na
tirebouchonnement3	ment	n	y	n	y	y	pat	na	na	nat	res	na	na	na	na	na	na	na
trinquement	ment	y	y	n	y	n	agt	thm	thm	evt	tsp	y	n	y	n	thm	thm	agt
trompement1	ment	y	y	n	y	n	agt	pat	na	evt	tsp	y	n	y	n	pat	agt	na
trompement2	ment	n	y	n	y	n	cau	na	tpc	evt	tsp	y	n	y	n	tpc	cau	na
vasouillement	ment	n	y	y	n	n	cau	na	na	sta	res	n	y	n	n	na	na	na
